a,weight_a,b,weight_b,c,weight_c,d,weight_d,target
1,100,1,90,1,120,234,,310
4,100,8,90,4,120,234,,1600
10,100,20,90,40,120,1,,7600
20,100,6,90,8,120,123,,3500
60,100,40,90,82,120,2,,19440
2,100,4,90,3,120,34,,920
84,100,65,90,14,120,534,,15930
65,100,12,90,99,120,5634,,19460
53,100,8,90,54,120,534,,12500
28,100,22,90,15,120,23,,6580
23,100,73,90,96,120,23,,20390
50,100,78,90,31,120,3,,15740
34,100,75,90,77,120,4,,19390
48,100,64,90,41,120,325,,15480
63,100,75,90,2,120,34,,13290
27,100,5,90,45,120,645,,8550
63,100,66,90,79,120,34,,21720
26,100,96,90,94,120,423,,22520
5,100,66,90,47,120,4,,12080
89,100,30,90,82,120,325,,21440
83,100,32,90,14,120,345,,12860
45,100,85,90,56,120,23,,18870
71,100,73,90,67,120,423,,21710
30,100,29,90,51,120,534,,11730
98,100,31,90,24,120,523,,15470
24,100,69,90,39,120,423,,13290
66,100,66,90,73,120,4,,21300
49,100,19,90,95,120,234,,18010
70,100,17,90,68,120,23,,16690
19,100,53,90,9,120,34,,7750
63,100,39,90,19,120,345,,12090
35,100,73,90,3,120,34,,10430
46,100,98,90,17,120,534,,15460
52,100,35,90,45,120,5634,,13750
59,100,18,90,38,120,654,,12080
18,100,74,90,63,120,534,,16020
71,100,48,90,47,120,5,,17060
77,100,87,90,46,120,4356,,21050
66,100,66,90,78,120,43,,21900
18,100,8,90,49,120,654,,8400
21,100,56,90,24,120,645,,10020
72,100,11,90,79,120,534,,17670
46,100,11,90,30,120,45,,9190
61,100,2,90,6,120,3,,7000
